sentence,frame,polarity,verb,veridicalitynorm
A particular person was shocked to have a particular thing.,NP was Ved to VP,positive,shock,4.0066404
A particular person wasn\'t shocked to have a particular thing.,NP was Ved to VP,negative,shock,4.0066404
A particular person was amazed to have a particular thing.,NP was Ved to VP,positive,amaze,3.882274
A particular person wasn\'t amazed to have a particular thing.,NP was Ved to VP,negative,amaze,3.882274
A particular person was overwhelmed to have a particular thing.,NP was Ved to VP,positive,overwhelm,3.8784473
A particular person wasn\'t overwhelmed to have a particular thing.,NP was Ved to VP,negative,overwhelm,3.8784473
A particular person wasn\'t surprised to have a particular thing.,NP was Ved to VP,negative,surprise,3.8553076
A particular person was surprised to have a particular thing.,NP was Ved to VP,positive,surprise,3.8553076
A particular person wasn\'t pleased to have a particular thing.,NP was Ved to VP,negative,please,3.8429904
A particular person was pleased to have a particular thing.,NP was Ved to VP,positive,please,3.8429904
A particular person wasn\'t displeased to have a particular thing.,NP was Ved to VP,negative,displease,3.8298767
A particular person was displeased to have a particular thing.,NP was Ved to VP,positive,displease,3.8298767
A particular person was thrilled to have a particular thing.,NP was Ved to VP,positive,thrill,3.6953576
A particular person wasn\'t thrilled to have a particular thing.,NP was Ved to VP,negative,thrill,3.6953576
A particular person wasn\'t annoyed to have a particular thing.,NP was Ved to VP,negative,annoy,3.6426878
A particular person was annoyed to have a particular thing.,NP was Ved to VP,positive,annoy,3.6426878
A particular person wasn\'t disgusted to have a particular thing.,NP was Ved to VP,negative,disgust,3.6417255
A particular person was disgusted to have a particular thing.,NP was Ved to VP,positive,disgust,3.6417255
A particular person was disappointed to have a particular thing.,NP was Ved to VP,positive,disappoint,3.6110258
A particular person wasn\'t disappointed to have a particular thing.,NP was Ved to VP,negative,disappoint,3.6110258
A particular person wasn\'t irritated to have a particular thing.,NP was Ved to VP,negative,irritate,3.5805628
A particular person was irritated to have a particular thing.,NP was Ved to VP,positive,irritate,3.5805628
A particular person wasn\'t gratified to have a particular thing.,NP was Ved to VP,negative,gratify,3.5098186
A particular person was gratified to have a particular thing.,NP was Ved to VP,positive,gratify,3.5098186
A particular person was amazed to do a particular thing.,NP was Ved to VP,positive,amaze,3.5028338
A particular person wasn\'t amazed to do a particular thing.,NP was Ved to VP,negative,amaze,3.5028338
A particular person was humbled to have a particular thing.,NP was Ved to VP,positive,humble,3.3641248
A particular person wasn\'t humbled to have a particular thing.,NP was Ved to VP,negative,humble,3.3641248
A particular person was elated to have a particular thing.,NP was Ved to VP,positive,elate,3.2845576
A particular person wasn\'t elated to have a particular thing.,NP was Ved to VP,negative,elate,3.2845576
A particular person was delighted to have a particular thing.,NP was Ved to VP,positive,delight,3.2495232
A particular person wasn\'t delighted to have a particular thing.,NP was Ved to VP,negative,delight,3.2495232
A particular person was flattered to have a particular thing.,NP was Ved to VP,positive,flatter,3.217576
A particular person wasn\'t flattered to have a particular thing.,NP was Ved to VP,negative,flatter,3.217576
A particular person wasn\'t mortified to have a particular thing.,NP was Ved to VP,negative,mortify,3.1697671
